path,line,literal,context,classification,action,evidence
src/modelcypher/core/domain/atlas/embedding_cache.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/embedding_cache.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/embedding_cache.py,42,8,"memory_limit=8,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/embedding_cache.py,43,14,"disk_ttl_seconds=14 * 24 * 60 * 60,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/embedding_cache.py,43,24,"disk_ttl_seconds=14 * 24 * 60 * 60,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/embedding_cache.py,43,60,"disk_ttl_seconds=14 * 24 * 60 * 60,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/embedding_cache.py,43,60,"disk_ttl_seconds=14 * 24 * 60 * 60,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/embedding_cache.py,44,1,"cache_version=1,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/embedding_cache.py,104,0,if int(backend.shape(embeddings)[0]) == 0:,STRUCTURAL_NONCAUSAL,KEEP,indexing/control-flow literal tied to array structure
src/modelcypher/core/domain/atlas/embedding_cache.py,104,0,if int(backend.shape(embeddings)[0]) == 0:,STRUCTURAL_NONCAUSAL,KEEP,indexing/control-flow literal tied to array structure
src/modelcypher/core/domain/atlas/embedding_cache.py,144,0,if int(backend.shape(embeddings)[0]) == 0:,STRUCTURAL_NONCAUSAL,KEEP,indexing/control-flow literal tied to array structure
src/modelcypher/core/domain/atlas/embedding_cache.py,144,0,if int(backend.shape(embeddings)[0]) == 0:,STRUCTURAL_NONCAUSAL,KEEP,indexing/control-flow literal tied to array structure
src/modelcypher/core/domain/atlas/gate_inventory.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/gate_inventory.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/gate_inventory.py,36,1,"- id: Unique identifier (e.g., ""computational_gate:1"")",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,32,2012,"""""""Moral Foundations Theory categories (Haidt, 2012).""""""",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,50,2,- level: Position on gradient (-2 to +2 typically),UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,50,2,- level: Position on gradient (-2 to +2 typically),UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,73,2,"level=-2,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,86,1,"level=-1,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,99,0,"level=0,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,112,1,"level=1,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,125,2,"level=2,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,139,2,"level=-2,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,152,1,"level=-1,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,165,0,"level=0,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,178,1,"level=1,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,191,2,"level=2,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,205,2,"level=-2,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,218,1,"level=-1,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,231,0,"level=0,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,244,1,"level=1,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,257,2,"level=2,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,271,2,"level=-2,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,284,1,"level=-1,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,297,0,"level=0,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,310,1,"level=1,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/moral_concepts.py,323,2,"level=2,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/probe_loader.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/probe_loader.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/probe_loader.py,92,1,"source_str, probe_id = full_id.split("":"", 1)",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/probe_loader.py,131,1.0,"cross_domain_weight=1.0,  # Default weight",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/probe_loader.py,188,0,"counts[data.get(""domain"", filepath.stem)] = data.get(""probe_count"", 0)",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_prime_frames.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_prime_frames.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_prime_multilingual.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_prime_multilingual.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_prime_multilingual.py,85,1,supported = supported_versions or {1},UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_prime_multilingual.py,93,1,"duplicate_ids = sorted([pid for pid, values in grouped.items() if len(values) > 1])",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_prime_multilingual.py,109,0,prime = prime_list[0],UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_prime_multilingual.py,183,1,"version=int(payload.get(""version"", 1)),",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,55,0,return self.english_exponents[0] if self.english_exponents else self.id,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,59,014,_english_2014: list[SemanticPrime] | None = None,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,62,014,def english2014(cls) -> list[SemanticPrime]:,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,63,014,if cls._english_2014 is None:,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,66,014,"for item in data.get(""english2014"", []):",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,76,014,cls._english_2014 = primes,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,77,014,return list(cls._english_2014),UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,96,0,first = signatures[0],UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,102,0.0,summed = [0.0] * len(first.values),UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/semantic_primes.py,106,1.0,inv_count = 1.0 / float(len(signatures)),UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,84,0.0,cross_domain_weight: float  # Weight for cross-domain scoring (0.0-2.0),UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,84,2.0,cross_domain_weight: float  # Weight for cross-domain scoring (0.0-2.0),UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,99,1.0,"_DEFAULT_WEIGHTS: dict[AtlasSource, float] = {source: 1.0 for source in AtlasSource}",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,138,0,"counts[probe.source] = counts.get(probe.source, 0) + 1",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,138,1,"counts[probe.source] = counts.get(probe.source, 0) + 1",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,212,3,if len(activation_values) < 3:,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,226,1.0,"source_multiplier = max(1.0, float(source_count))",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,227,1.0,"domain_multiplier = max(1.0, float(domain_count))",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/atlas/unified_atlas.py,232,1,"layer_index=-1,  # Set by caller",STRUCTURAL_NONCAUSAL,KEEP,indexing/control-flow literal tied to array structure
src/modelcypher/core/domain/cache/__init__.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/__init__.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,1,2025,# Copyright (C) 2025 EthyrosAI LLC / Jason Kempf,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,7,3,"# the Free Software Foundation, either version 3 of the License, or",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,49,1968,- Working Set Size (WSS) based memory limits (Denning 1968),UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,51,1968,Memory limit is derived from Working Set Theory (Denning 1968):,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,53,20,- Adjusts limit to accommodate the working set + 20% headroom,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,70,1968,"# WSS window: Denning (1968) ""The Working Set Model for Program Behavior""",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,73,60,# used items. 60s is a configurable starting point — override via,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,75,60.0,_WSS_WINDOW_SECONDS: float = 60.0,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,79,10,# works; 10 ensures at least 10 entries survive before WSS takes over.,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,79,10,# works; 10 ensures at least 10 entries survive before WSS takes over.,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,80,10,_MIN_MEMORY_LIMIT: int = 10,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,87,100,"memory_limit: int = 100,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,88,7,"disk_ttl_seconds: float = 7 * 24 * 60 * 60,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,88,24,"disk_ttl_seconds: float = 7 * 24 * 60 * 60,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,88,60,"disk_ttl_seconds: float = 7 * 24 * 60 * 60,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,88,60,"disk_ttl_seconds: float = 7 * 24 * 60 * 60,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,89,1,"cache_version: int = 1,",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,99,1968,Will be adjusted based on Working Set Size (Denning 1968).,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,118,1968,Working Set Theory (Denning 1968): cache size should accommodate,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,120,5,"Beyond WSS, doubling cache yields <5% hit rate improvement.",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,126,1,wss = sum(1 for t in self._access_times.values() if t > cutoff),UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,128,20,# Set limit to WSS + 20% headroom to avoid thrashing at boundary.,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,129,1968,"# Denning (1968), §4: when cache size equals WSS exactly, single-item",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,129,4,"# Denning (1968), §4: when cache size equals WSS exactly, single-item",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,131,1.0,# exceed 1.0; 1.2 (20%) is an engineering choice — any value in,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,131,1.2,# exceed 1.0; 1.2 (20%) is an engineering choice — any value in,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,131,20,# exceed 1.0; 1.2 (20%) is an engineering choice — any value in,UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,132,1.0,"# (1.0, 2.0) prevents boundary oscillation without wasting memory.",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,132,2.0,"# (1.0, 2.0) prevents boundary oscillation without wasting memory.",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,134,1.2,"new_limit = max(self._MIN_MEMORY_LIMIT, int(wss * 1.2))",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,169,8,"payload = json.loads(cache_file.read_text(encoding=""utf-8""))",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,177,0,"cached_at = payload.get(""cached_at"", 0)",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,228,2,"json.dumps(payload, indent=2, sort_keys=True),",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
src/modelcypher/core/domain/cache/base_cache.py,229,8,"encoding=""utf-8"",",UNJUSTIFIED,DERIVE_OR_FAIL_FAST,no local theorem/precision/data derivation marker found
